samebib(class_250,class_327).
samebib(class_327,class_250).
samebib(class_439,class_450).
samebib(class_439,class_451).
samebib(class_440,class_450).
samebib(class_440,class_451).
samebib(class_441,class_450).
samebib(class_441,class_451).
samebib(class_442,class_450).
samebib(class_442,class_451).
samebib(class_450,class_439).
samebib(class_450,class_440).
samebib(class_450,class_441).
samebib(class_450,class_442).
samebib(class_451,class_439).
samebib(class_451,class_440).
samebib(class_451,class_441).
samebib(class_451,class_442).
samebib(class_551,class_590).
samebib(class_551,class_592).
samebib(class_552,class_590).
samebib(class_552,class_592).
samebib(class_553,class_590).
samebib(class_553,class_592).
samebib(class_554,class_590).
samebib(class_554,class_592).
samebib(class_555,class_590).
samebib(class_555,class_592).
samebib(class_556,class_590).
samebib(class_556,class_591).
samebib(class_556,class_592).
samebib(class_557,class_590).
samebib(class_557,class_591).
samebib(class_557,class_592).
samebib(class_558,class_590).
samebib(class_558,class_591).
samebib(class_558,class_592).
samebib(class_559,class_590).
samebib(class_559,class_591).
samebib(class_559,class_592).
samebib(class_560,class_590).
samebib(class_560,class_591).
samebib(class_560,class_592).
samebib(class_561,class_590).
samebib(class_561,class_591).
samebib(class_561,class_592).
samebib(class_562,class_590).
samebib(class_562,class_591).
samebib(class_562,class_592).
samebib(class_563,class_590).
samebib(class_563,class_591).
samebib(class_563,class_592).
samebib(class_564,class_590).
samebib(class_564,class_591).
samebib(class_564,class_592).
samebib(class_565,class_590).
samebib(class_565,class_591).
samebib(class_565,class_592).
samebib(class_566,class_590).
samebib(class_566,class_591).
samebib(class_566,class_592).
samebib(class_567,class_590).
samebib(class_567,class_591).
samebib(class_567,class_592).
samebib(class_568,class_590).
samebib(class_568,class_591).
samebib(class_568,class_592).
samebib(class_569,class_590).
samebib(class_569,class_591).
samebib(class_569,class_592).
samebib(class_570,class_590).
samebib(class_570,class_591).
samebib(class_570,class_592).
samebib(class_571,class_590).
samebib(class_571,class_591).
samebib(class_571,class_592).
samebib(class_572,class_590).
samebib(class_572,class_591).
samebib(class_572,class_592).
samebib(class_590,class_551).
samebib(class_590,class_552).
samebib(class_590,class_553).
samebib(class_590,class_554).
samebib(class_590,class_555).
samebib(class_590,class_556).
samebib(class_590,class_557).
samebib(class_590,class_558).
samebib(class_590,class_559).
samebib(class_590,class_560).
samebib(class_590,class_561).
samebib(class_590,class_562).
samebib(class_590,class_563).
samebib(class_590,class_564).
samebib(class_590,class_565).
samebib(class_590,class_566).
samebib(class_590,class_567).
samebib(class_590,class_568).
samebib(class_590,class_569).
samebib(class_590,class_570).
samebib(class_590,class_571).
samebib(class_590,class_572).
samebib(class_591,class_556).
samebib(class_591,class_557).
samebib(class_591,class_558).
samebib(class_591,class_559).
samebib(class_591,class_560).
samebib(class_591,class_561).
samebib(class_591,class_562).
samebib(class_591,class_563).
samebib(class_591,class_564).
samebib(class_591,class_565).
samebib(class_591,class_566).
samebib(class_591,class_567).
samebib(class_591,class_568).
samebib(class_591,class_569).
samebib(class_591,class_570).
